Time	(10) Kp*error	(13) Kd*de/dt	(14) Kp*e+Kd*de/dt CCW	
0.0526	-0.05998043	-0.05996771	-0.05982652	
0.0528	-0.05998229	-0.05997078	-0.05983753	
0.053	-0.05998088	-0.05997356	-0.05984801	
0.0532	-0.0599746	-0.05997608	-0.05985764	
0.0534	-0.05996406	-0.05997835	-0.05986596	
0.0536	-0.05994988	-0.05998041	-0.05987261	
0.0538	-0.05993268	-0.05998228	-0.05987734	
0.054	-0.05991311	-0.05998397	-0.05987999	
0.0542	-0.05989182	-0.05998549	-0.05988049	
0.0544	-0.05986943	-0.05998687	-0.05987884	
0.0546	-0.05984659	-0.05998807	-0.05987513	
0.0548	-0.05982388	-0.05998548	-0.05986948	
0.055	-0.0598019	-0.05997939	-0.05986167	
0.0552	-0.05978119	-0.05997025	-0.05985164	
0.0554	-0.05976227	-0.05995856	-0.05983939	
0.0556	-0.05974558	-0.0599448	-0.05982507	
0.0558	-0.05973155	-0.05992948	-0.05980888	
0.056	-0.05972052	-0.05991307	-0.05979112	
0.0562	-0.0597128	-0.05989608	-0.05977215	
0.0564	-0.05970861	-0.05987897	-0.05975236	
0.0566	-0.05970813	-0.0598622	-0.05973221	
0.0568	-0.05971143	-0.05984621	-0.05971214	
0.057	-0.05971858	-0.05983139	-0.05969265	
0.0572	-0.05972951	-0.05981812	-0.0596742	
0.0574	-0.05974412	-0.05980673	-0.05965727	
0.0576	-0.05976227	-0.05979752	-0.05964229	
0.0578	-0.0597837	-0.05979073	-0.05962969	
0.058	-0.05980428	-0.05978657	-0.05961984	
0.0582	-0.05982291	-0.05978518	-0.05961267	
0.0584	-0.05983976	-0.0597866	-0.05960801	
0.0586	-0.05985501	-0.05979087	-0.05960573	
0.0588	-0.05986881	-0.059798	-0.05960573	
0.059	-0.05988129	-0.05980796	-0.05960795	
0.0592	-0.05989259	-0.05982064	-0.05961234	
0.0594	-0.05990281	-0.05983587	-0.05961885	
0.0596	-0.05991206	-0.05985149	-0.05962743	
0.0598	-0.05992043	-0.05986562	-0.05963784	
0.06	-0.059928	-0.05987841	-0.05964963	
0.0602	-0.05993485	-0.05988998	-0.05966246	
0.0604	-0.05994105	-0.05990045	-0.05967602	
0.0606	-0.05994666	-0.05990992	-0.05969005	
0.0608	-0.05995174	-0.0599185	-0.05970434	
0.061	-0.05995633	-0.05992625	-0.05971872	
0.0612	-0.05996048	-0.05993327	-0.05973304	
0.0614	-0.05996424	-0.05993962	-0.05974719	
0.0616	-0.05996765	-0.05994537	-0.05976105	
0.0618	-0.05997073	-0.05995056	-0.05977457	
0.062	-0.05997351	-0.05995527	-0.05978768	
0.0622	-0.05997603	-0.05995953	-0.05980033	
0.0624	-0.05997831	-0.05996338	-0.05981249	
0.0626	-0.05998038	-0.05996686	-0.05982415	
0.0628	-0.05998224	-0.05997002	-0.05983529	
0.063	-0.05998096	-0.05997287	-0.0598459	
0.0632	-0.0599748	-0.05997545	-0.05985567	
0.0634	-0.05996437	-0.05997779	-0.05986413	
0.0636	-0.05995027	-0.0599799	-0.05987092	
0.0638	-0.05993314	-0.05998182	-0.0598758	
0.064	-0.05991362	-0.05998354	-0.0598786	
0.0642	-0.05989237	-0.05998511	-0.05987924	
0.06439999	-0.05987	-0.05998653	-0.05987773	
0.0646	-0.05984716	-0.05998702	-0.05987415	
0.0648	-0.05982444	-0.0599843	-0.05986853	
0.065	-0.05980244	-0.05997809	-0.05986075	
0.0652	-0.0597817	-0.05996885	-0.05985073	
0.0654	-0.05976272	-0.05995705	-0.05983847	
0.0656	-0.05974597	-0.0599432	-0.05982412	
0.0658	-0.05973186	-0.05992778	-0.0598079	
0.066	-0.05972076	-0.05991128	-0.05979008	
0.0662	-0.05971295	-0.0598942	-0.05977105	
0.0664	-0.05970867	-0.059877	-0.05975118	
0.06659999	-0.05970809	-0.05986014	-0.05973094	
0.0668	-0.0597113	-0.05984405	-0.05971077	
0.067	-0.05971834	-0.05982914	-0.05969117	
0.0672	-0.05972918	-0.05981577	-0.0596726	
0.0674	-0.05974371	-0.05980429	-0.05965554	
0.0676	-0.05976176	-0.05979498	-0.05964042	
0.0678	-0.05978311	-0.05978809	-0.05962767	
0.068	-0.05980375	-0.05978383	-0.05961768	
0.0682	-0.05982243	-0.05978235	-0.05961037	
0.0684	-0.05983933	-0.05978367	-0.05960558	
0.0686	-0.05985462	-0.05978785	-0.05960317	
0.06879999	-0.05986845	-0.0597949	-0.05960306	
0.069	-0.05988097	-0.05980477	-0.05960517	
0.0692	-0.0598923	-0.05981738	-0.05960945	
0.0694	-0.05990255	-0.05983201	-0.05961586	
0.0696	-0.05991182	-0.05984775	-0.05962429	
0.0698	-0.05992021	-0.05986223	-0.05963457	
0.07	-0.0599278	-0.05987535	-0.05964629	
0.0702	-0.05993468	-0.05988721	-0.05965909	
0.0704	-0.05994089	-0.05989794	-0.05967266	
0.0706	-0.05994651	-0.05990765	-0.05968673	
0.0708	-0.05995161	-0.05991644	-0.05970109	
0.07099999	-0.05995621	-0.05992439	-0.05971555	
0.0712	-0.05996038	-0.05993159	-0.05972996	
0.0714	-0.05996415	-0.0599381	-0.0597442	
0.0716	-0.05996756	-0.05994399	-0.05975818	
0.0718	-0.05997065	-0.05994932	-0.05977182	
0.072	-0.05997344	-0.05995414	-0.05978505	
0.0722	-0.05997597	-0.05995851	-0.05979782	
0.0724	-0.05997825	-0.05996246	-0.05981011	
0.0726	-0.05998033	-0.05996603	-0.0598219	
0.0728	-0.0599822	-0.05996926	-0.05983315	
0.073	-0.05998105	-0.05997219	-0.05984388	
0.07319999	-0.05997501	-0.05997483	-0.05985378	
0.0734	-0.05996467	-0.05997723	-0.05986237	
0.0736	-0.05995066	-0.05997939	-0.0598693	
0.0738	-0.0599336	-0.05998136	-0.05987432	
0.074	-0.05991414	-0.05998313	-0.05987726	
0.0742	-0.05989292	-0.05998474	-0.05987804	
0.0744	-0.05987057	-0.05998607	-0.05987667	
0.0746	-0.05984773	-0.05998592	-0.0598732	
0.0748	-0.05982501	-0.05998317	-0.05986762	
0.075	-0.05980298	-0.05997692	-0.05985987	
0.0752	-0.0597822	-0.05996764	-0.05984985	
0.07539999	-0.05976317	-0.05995582	-0.05983761	
0.0756	-0.05974636	-0.05994193	-0.05982326	
0.0758	-0.05973218	-0.05992647	-0.05980702	
0.076	-0.059721	-0.05990993	-0.05978919	
0.0762	-0.0597131	-0.0598928	-0.05977011	
0.0764	-0.05970873	-0.05987554	-0.05975021	
0.0766	-0.05970806	-0.05985862	-0.05972991	
0.0768	-0.05971117	-0.05984247	-0.05970968	
0.077	-0.05971812	-0.05982749	-0.05968999	
0.0772	-0.05972886	-0.05981405	-0.05967134	
0.0774	-0.05974329	-0.05980249	-0.05965418	
0.07759999	-0.05976126	-0.0597931	-0.05963896	
0.0778	-0.05978253	-0.05978613	-0.0596261	
0.078	-0.05980323	-0.05978179	-0.05961598	
0.0782	-0.05982195	-0.05978023	-0.05960856	
0.0784	-0.05983889	-0.05978146	-0.05960367	
0.0786	-0.05985423	-0.05978556	-0.05960117	
0.0788	-0.0598681	-0.05979253	-0.05960096	
0.079	-0.05988065	-0.05980233	-0.05960298	
0.0792	-0.05989201	-0.05981486	-0.05960718	
0.0794	-0.05990228	-0.05982906	-0.05961351	
0.0796	-0.05991158	-0.05984439	-0.05962183	
0.07979999	-0.05992	-0.0598592	-0.05963196	
0.08	-0.05992761	-0.0598726	-0.05964359	
0.0802	-0.0599345	-0.05988472	-0.05965633	
0.0804	-0.05994073	-0.05989569	-0.05966988	
0.0806	-0.05994637	-0.05990562	-0.05968396	
0.0808	-0.05995148	-0.0599146	-0.05969835	
0.081	-0.05995609	-0.05992272	-0.05971286	
0.0812	-0.05996027	-0.05993008	-0.05972734	
0.0814	-0.05996405	-0.05993674	-0.05974166	
0.0816	-0.05996747	-0.05994276	-0.05975573	
0.0818	-0.05997057	-0.0599482	-0.05976946	
0.08199999	-0.05997337	-0.05995313	-0.05978278	
0.0822	-0.0599759	-0.05995759	-0.05979566	
0.0824	-0.0599782	-0.05996163	-0.05980805	
0.0826	-0.05998027	-0.05996528	-0.05981994	
0.0828	-0.05998215	-0.05996858	-0.0598313	
0.083	-0.05998113	-0.05997157	-0.05984212	
0.0832	-0.05997521	-0.05997428	-0.05985213	
0.0834	-0.05996497	-0.05997673	-0.05986085	
0.0836	-0.05995105	-0.05997894	-0.0598679	
0.0838	-0.05993406	-0.05998094	-0.05987305	
0.084	-0.05991465	-0.05998276	-0.05987611	
0.08419999	-0.05989347	-0.0599844	-0.05987702	
0.0844	-0.05987114	-0.05998527	-0.05987576	
0.0846	-0.05984831	-0.0599847	-0.05987236	
0.0848	-0.05982558	-0.05998199	-0.05986679	
0.085	-0.05980353	-0.05997578	-0.05985905	
0.0852	-0.0597827	-0.05996653	-0.05984905	
0.0854	-0.05976363	-0.05995472	-0.05983682	
0.0856	-0.05974675	-0.05994084	-0.05982248	
0.0858	-0.05973251	-0.05992539	-0.05980624	
0.086	-0.05972124	-0.05990885	-0.0597884	
0.0862	-0.05971326	-0.0598917	-0.05976931	
0.08639999	-0.0597088	-0.05987443	-0.05974938	
0.0866	-0.05970803	-0.05985748	-0.05972905	
0.08679999	-0.05971104	-0.05984129	-0.05970878	
0.087	-0.05971789	-0.05982626	-0.05968904	
0.0872	-0.05972854	-0.05981277	-0.05967033	
0.0874	-0.05974288	-0.05980115	-0.05965309	
0.0876	-0.05976076	-0.0597917	-0.05963779	
0.0878	-0.05978195	-0.05978466	-0.05962484	
0.088	-0.0598027	-0.05978024	-0.05961462	
0.0882	-0.05982148	-0.0597786	-0.05960711	
0.0884	-0.05983847	-0.05977977	-0.05960214	
0.08859999	-0.05985384	-0.05978379	-0.05959956	
0.0888	-0.05986775	-0.05979069	-0.05959928	
0.08899999	-0.05988033	-0.05980042	-0.05960122	
0.0892	-0.05989172	-0.05981289	-0.05960536	
0.0894	-0.05990202	-0.05982675	-0.05961162	
0.0896	-0.05991135	-0.05984179	-0.05961984	
0.0898	-0.05991979	-0.05985685	-0.05962986	
0.09	-0.05992742	-0.05987047	-0.05964142	
0.0902	-0.05993433	-0.0598828	-0.05965413	
0.0904	-0.05994058	-0.05989395	-0.05966766	
0.0906	-0.05994623	-0.05990404	-0.05968175	
0.09079999	-0.05995135	-0.05991317	-0.05969617	
0.091	-0.05995598	-0.05992144	-0.05971072	
0.09119999	-0.05996017	-0.05992891	-0.05972526	
0.0914	-0.05996396	-0.05993568	-0.05973965	
0.0916	-0.05996739	-0.0599418	-0.05975378	
0.0918	-0.05997049	-0.05994734	-0.05976758	
0.092	-0.0599733	-0.05995235	-0.05978099	
0.0922	-0.05997584	-0.05995688	-0.05979395	
0.0924	-0.05997814	-0.05996099	-0.05980642	
0.0926	-0.05998022	-0.0599647	-0.05981838	
0.0928	-0.0599821	-0.05996806	-0.05982983	
0.09299999	-0.05998122	-0.0599711	-0.05984074	
0.0932	-0.05997541	-0.05997385	-0.05985083	
0.09339999	-0.05996528	-0.05997634	-0.05985964	
0.0936	-0.05995144	-0.05997859	-0.05986681	
0.0938	-0.05993452	-0.05998063	-0.05987206	
0.094	-0.05991517	-0.05998247	-0.05987523	
0.0942	-0.05989402	-0.05998414	-0.05987625	
0.0944	-0.05987172	-0.05998469	-0.0598751	
0.0946	-0.05984889	-0.05998382	-0.05987175	
0.0948	-0.05982615	-0.05998116	-0.05986621	
0.095	-0.05980407	-0.059975	-0.0598585	
0.09519999	-0.05978321	-0.05996579	-0.05984853	
0.0954	-0.05976408	-0.05995401	-0.05983632	
0.09559999	-0.05974715	-0.05994016	-0.059822	
0.0958	-0.05973283	-0.05992471	-0.05980578	
0.096	-0.05972149	-0.05990817	-0.05978794	
0.0962	-0.05971342	-0.05989102	-0.05976886	
0.0964	-0.05970886	-0.05987373	-0.05974891	
0.0966	-0.059708	-0.05985675	-0.05972856	
0.0968	-0.05971092	-0.05984053	-0.05970825	
0.097	-0.05971767	-0.05982546	-0.05968847	
0.0972	-0.05972822	-0.05981192	-0.0596697	
0.09739999	-0.05974247	-0.05980024	-0.0596524	
0.0976	-0.05976027	-0.05979072	-0.05963703	
0.09779999	-0.05978138	-0.05978362	-0.05962399	
0.098	-0.05980218	-0.05977914	-0.05961369	
0.0982	-0.05982101	-0.05977742	-0.0596061	
0.0984	-0.05983804	-0.05977852	-0.05960104	
0.0986	-0.05985345	-0.05978246	-0.05959839	
0.0988	-0.0598674	-0.05978929	-0.05959804	
0.099	-0.05988002	-0.05979895	-0.05959992	
0.0992	-0.05989144	-0.05981135	-0.05960398	
0.0994	-0.05990177	-0.05982497	-0.05961018	
0.09959999	-0.05991111	-0.05983978	-0.05961833	
0.0998	-0.05991957	-0.05985503	-0.05962826	
0.09999999	-0.05992723	-0.05986882	-0.05963975	
0.1002	-0.05993415	-0.05988131	-0.05965242	
0.1004	-0.05994042	-0.0598926	-0.05966594	
0.1006	-0.05994609	-0.05990282	-0.05968004	
0.1008	-0.05995122	-0.05991207	-0.05969447	
0.101	-0.05995586	-0.05992044	-0.05970906	
0.1012	-0.05996006	-0.05992801	-0.05972363	
0.1014	-0.05996386	-0.05993486	-0.05973807	
0.1016	-0.0599673	-0.05994106	-0.05975226	
0.1018	-0.05997041	-0.05994667	-0.05976612	
0.102	-0.05997323	-0.05995174	-0.05977958	
0.1022	-0.05997578	-0.05995633	-0.0597926	
0.1024	-0.05997808	-0.05996049	-0.05980514	
0.1026	-0.05998017	-0.05996425	-0.05981717	
0.1028	-0.05998205	-0.05996765	-0.05982867	
