Time	(16) Kp*error	(21) Kd*de/dt	(22) Kp*e+Kd*de/dt CW	
0.0668	-0.05929409	-0.05916011	-0.05829389	
0.067	-0.05929398	-0.05916005	-0.0582936	
0.0672	-0.05929388	-0.05915999	-0.05829332	
0.0674	-0.05929378	-0.05915994	-0.05829304	
0.0676	-0.05929369	-0.05915989	-0.05829278	
0.0678	-0.05929359	-0.05915985	-0.05829253	
0.068	-0.0592935	-0.05915981	-0.05829229	
0.0682	-0.05929342	-0.05915977	-0.05829206	
0.0684	-0.05929334	-0.05915974	-0.05829184	
0.0686	-0.05929326	-0.05915971	-0.05829163	
0.06879999	-0.05929318	-0.05915969	-0.05829142	
0.069	-0.05929311	-0.05915967	-0.05829123	
0.0692	-0.05929305	-0.05915965	-0.05829104	
0.0694	-0.05929298	-0.05915964	-0.05829087	
0.0696	-0.05929292	-0.05915963	-0.0582907	
0.0698	-0.05929286	-0.05915962	-0.05829054	
0.07	-0.05929281	-0.05915961	-0.05829039	
0.0702	-0.05929276	-0.05915961	-0.05829025	
0.0704	-0.05929271	-0.05915961	-0.05829011	
0.0706	-0.05929266	-0.05915962	-0.05828999	
0.0708	-0.05929262	-0.05915963	-0.05828987	
0.07099999	-0.05929258	-0.05915964	-0.05828976	
0.0712	-0.05929254	-0.05915966	-0.05828965	
0.0714	-0.05929251	-0.05915967	-0.05828956	
0.0716	-0.05929247	-0.05915969	-0.05828947	
0.0718	-0.05929244	-0.05915972	-0.05828939	
0.072	-0.05929241	-0.05915974	-0.05828932	
0.0722	-0.05929238	-0.05915977	-0.05828925	
0.0724	-0.05929236	-0.05915981	-0.05828919	
0.0726	-0.05929234	-0.05915985	-0.05828913	
0.0728	-0.05929231	-0.05915988	-0.05828908	
0.073	-0.05929229	-0.05915992	-0.05828904	
0.07319999	-0.05929227	-0.05915997	-0.05828901	
0.0734	-0.05929225	-0.05916002	-0.05828898	
0.0736	-0.05929224	-0.05916007	-0.05828895	
0.0738	-0.05929222	-0.05916012	-0.05828894	
0.074	-0.05929221	-0.05916018	-0.05828893	
0.0742	-0.05929219	-0.05916024	-0.05828892	
0.0744	-0.05929218	-0.0591603	-0.05828892	
0.0746	-0.05929217	-0.05916037	-0.05828892	
0.0748	-0.05929216	-0.05916044	-0.05828894	
0.075	-0.05929215	-0.05916051	-0.05828895	
0.0752	-0.05929214	-0.05916058	-0.05828897	
0.07539999	-0.05929213	-0.05916066	-0.058289	
0.0756	-0.05929212	-0.05916074	-0.05828903	
0.0758	-0.05929212	-0.05916082	-0.05828906	
0.076	-0.05929211	-0.05916091	-0.0582891	
0.0762	-0.0592921	-0.05916099	-0.05828914	
0.0764	-0.0592921	-0.05916108	-0.05828919	
0.0766	-0.05929209	-0.05916118	-0.05828924	
0.0768	-0.05929209	-0.05916127	-0.0582893	
0.077	-0.05929208	-0.05916137	-0.05828936	
0.0772	-0.05929208	-0.05916147	-0.05828942	
0.0774	-0.05929207	-0.05916157	-0.05828949	
0.07759999	-0.05929207	-0.05916167	-0.05828957	
0.0778	-0.05929207	-0.05916177	-0.05828964	
0.078	-0.05929207	-0.05916188	-0.05828972	
0.0782	-0.05929206	-0.05916199	-0.0582898	
0.0784	-0.05929206	-0.0591621	-0.05828989	
0.0786	-0.05929206	-0.05916221	-0.05828997	
0.0788	-0.05929205	-0.05916233	-0.05829006	
0.079	-0.05929203	-0.05916245	-0.05829016	
0.0792	-0.05929199	-0.05916256	-0.05829025	
0.0794	-0.05929194	-0.05916269	-0.05829035	
0.0796	-0.05929187	-0.05916281	-0.05829044	
0.07979999	-0.05929178	-0.05916293	-0.05829053	
0.08	-0.05929168	-0.05916306	-0.05829062	
0.0802	-0.05929156	-0.05916318	-0.05829069	
0.0804	-0.05929143	-0.0591633	-0.05829077	
0.0806	-0.05929128	-0.05916343	-0.05829083	
0.0808	-0.05929112	-0.05916355	-0.05829089	
0.081	-0.05929096	-0.05916367	-0.05829093	
0.0812	-0.05929079	-0.05916379	-0.05829097	
